ID,lat,lon
1,34.040539,-118.271387
2,32.89947,-117.243
3,34.221665,-118.468371
4,33.909914,-117.459053
5,34.14762,-118.147111
6,34.145138,-118.152655
7,34.145119,-118.150133
8,34.118433,-118.149597
9,33.7637,-118.192
10,33.94325,-118.403342
11,34.238716,-118.554686
12,34.07122,-117.575
13,34.228315,-119.170865
14,33.824004,-116.543589
15,34.0189,-117.38
16,38.69005,-121.58889
17,34.017081,-118.44704
18,34.010021,-118.49583
19,34.156407,-118.438965
20,34.13722,-118.35835
21,33.94756,-118.153806
22,37.80619,-122.4152
23,38.599693,-121.427045
24,37.78881,-122.401
25,37.791791,-122.411265
26,34.248959,-118.523887
27,34.241687,-118.528543
28,34.236853,-118.532588
29,33.740758,-118.28192
30,34.077588,-118.474585
31,34.145528,-118.050548
32,34.13556,-117.864
33,33.9826,-118.3966
34,34.029971,-118.385231
35,33.777054,-117.870566
36,34.16657601660278,-119.0458546627045
37,33.919899,-117.898618
38,34.192178,-118.934793
39,34.418322,-119.3368
40,34.105275,-117.809208
41,34.147709,-118.136621
42,34.267352,-119.2124
43,34.268756,-119.2154
44,34.268,-119.2492
45,38.539336,-121.732405
46,38.66292,-121.2634
47,38.57277,-121.467902
48,38.7042,-121.365
49,38.552483,-121.4487
50,38.524403,-121.5112
51,38.73323,-120.78962
52,38.356027,-121.9628
53,38.36557,-121.967
54,38.35172,-121.987
55,38.356907,-122.001886
56,38.355867,-121.9862
57,38.351758,-121.994475
58,38.682605,-121.297614
59,38.457369,-121.842567
60,38.72799,-120.828
61,38.6476,-121.067
62,38.74453,-121.17
63,38.618066,-121.334337
64,44.469281,-73.154972
65,38.15485,-121.69
66,38.25281,-122.044229
67,38.23723,-122.123
68,38.105062,-122.265895
69,33.944761,-118.399767
70,44.469281,-73.154972
71,47.044011,-122.822404
72,45.508396,-122.664667
73,39.15,-123.2091
74,38.368755,-121.961192
75,38.54643,-121.7388
76,38.5443,-121.738
77,38.544538,-121.749713
78,38.55755,-121.6947
79,38.569412,-121.721373
80,33.84788,-118.13889
81,37.94495,-122.5096
82,37.7136,-122.2087
