ID,lat,lon,geometry
2571,53.467168,-2.955384,POINT (-2.955384 53.467168)
2572,53.467947,-2.954695,POINT (-2.954695 53.467947)
2573,53.467526,-2.955163,POINT (-2.955163 53.467526)
2574,53.523289,-2.397275,POINT (-2.397275 53.523289)
2575,53.523346,-2.396938,POINT (-2.396938 53.523346)
2576,53.523986,-2.397441,POINT (-2.397441 53.523986)
2577,53.003899,-1.2158,POINT (-1.2158 53.003899)
2578,53.00537,-1.209968,POINT (-1.209968 53.00537)
2579,54.197559,-1.363084,POINT (-1.363084 54.197559)
2580,54.195045,-1.36319,POINT (-1.36319 54.195045)
2581,54.195382,-1.362839,POINT (-1.362839 54.195382)
2582,54.194226,-1.363621,POINT (-1.363621 54.194226)
2583,54.196038,-1.363574,POINT (-1.363574 54.196038)
2584,54.194317,-1.364007,POINT (-1.364007 54.194317)
2585,54.577378,-1.240525,POINT (-1.240525 54.577378)
2586,54.578778,-1.238939,POINT (-1.238939 54.578778)
2587,54.577277,-1.2396,POINT (-1.2396 54.577277)
2588,54.577818,-1.239545,POINT (-1.239545 54.577818)
2589,53.735525,-1.722832,POINT (-1.722832 53.735525)
2590,53.674679,-1.489848,POINT (-1.489848 53.674679)
2591,53.681671,-1.491544,POINT (-1.491544 53.681671)
2592,53.41252,-2.984268,POINT (-2.984268 53.41252)
2593,57.156301,-2.140795,POINT (-2.140795 57.156301)
2594,57.15697,-2.13649,POINT (-2.13649 57.15697)
2595,57.181465,-2.099566,POINT (-2.099566 57.181465)
2596,57.15055,-2.09264,POINT (-2.09264 57.15055)
2597,57.15297,-2.08504,POINT (-2.08504 57.15297)
2598,57.15065,-2.098205,POINT (-2.098205 57.15065)
2599,57.1532,-2.0984,POINT (-2.0984 57.1532)
2600,57.132609,-2.102648,POINT (-2.102648 57.132609)
2601,57.180088,-2.186739,POINT (-2.186739 57.180088)
2602,57.136236,-2.115113,POINT (-2.115113 57.136236)
2603,57.440445,-2.766733,POINT (-2.766733 57.440445)
2604,57.43945,-2.767283,POINT (-2.767283 57.43945)
2605,54.0453,-2.8053,POINT (-2.8053 54.0453)
2606,54.04427,-2.801438,POINT (-2.801438 54.04427)
2607,54.04721,-2.8045,POINT (-2.8045 54.04721)
2608,54.048,-2.7962,POINT (-2.7962 54.048)
2609,54.046678,-2.801093,POINT (-2.801093 54.046678)
2610,54.045059,-2.798422,POINT (-2.798422 54.045059)
2611,57.177805,-2.15,POINT (-2.15 57.177805)
2612,57.177958,-2.150268,POINT (-2.150268 57.177958)
2613,57.178372,-2.150332,POINT (-2.150332 57.178372)
2614,56.473318,-3.052509,POINT (-3.052509 56.473318)
2615,56.473505,-3.051477,POINT (-3.051477 56.473505)
2616,56.4698,-3.05718,POINT (-3.05718 56.4698)
2617,56.4708,-3.0558,POINT (-3.0558 56.4708)
2618,54.02801,-2.793803,POINT (-2.793803 54.02801)
2619,54.027072,-2.794915,POINT (-2.794915 54.027072)
2620,54.027868,-2.793186,POINT (-2.793186 54.027868)
2621,54.027705,-2.794201,POINT (-2.794201 54.027705)
2622,53.736153,-2.729207,POINT (-2.729207 53.736153)
2623,53.737036,-2.729555,POINT (-2.729555 53.737036)
2624,53.735886,-2.728293,POINT (-2.728293 53.735886)
2625,53.736803,-2.72987,POINT (-2.72987 53.736803)
2626,54.571887,-1.29424,POINT (-1.29424 54.571887)
2627,54.572537,-1.294884,POINT (-1.294884 54.572537)
2628,53.901903,-2.776702,POINT (-2.776702 53.901903)
2629,53.902307,-2.777462,POINT (-2.777462 53.902307)
2630,53.90285,-2.77676,POINT (-2.77676 53.90285)
2631,53.902159,-2.776904,POINT (-2.776904 53.902159)
2632,55.007789,-3.083034,POINT (-3.083034 55.007789)
2633,55.007818,-3.083054,POINT (-3.083054 55.007818)
